scorer,,,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali
labeled-data,_0,img041.png,503.0,302.0,629.0,309.0,768.0,313.0,888.0,321.0,975.0,320.0,1048.0,442.0,858.0,517.0,,,859.0,558.0,,,794.0,485.0,760.0,572.0,,,621.0,520.0,,,,,,,519.0,471.0,530.0,549.0,583.0,666.0,472.0,501.0
labeled-data,_0,img042.png,509.0,302.0,634.0,309.0,774.0,313.0,894.0,321.0,981.0,320.0,1054.0,441.0,863.0,517.0,,,861.0,559.0,,,799.0,486.0,763.0,572.0,,,626.0,519.0,,,,,,,531.0,473.0,550.0,551.0,610.0,665.0,477.0,501.0
labeled-data,_0,img043.png,514.0,302.0,640.0,308.0,779.0,313.0,899.0,321.0,987.0,320.0,1061.0,440.0,868.0,517.0,,,862.0,560.0,,,804.0,487.0,766.0,572.0,,,632.0,518.0,,,,,,,543.0,476.0,567.0,553.0,631.0,664.0,483.0,501.0
labeled-data,_0,img044.png,520.0,302.0,645.0,307.0,785.0,313.0,905.0,322.0,993.0,320.0,1067.0,439.0,872.0,517.0,,,864.0,560.0,,,809.0,487.0,769.0,571.0,,,638.0,517.0,535.0,460.0,,,,,554.0,478.0,580.0,554.0,647.0,664.0,489.0,501.0
labeled-data,_0,img045.png,526.0,302.0,650.0,306.0,791.0,313.0,910.0,322.0,999.0,320.0,1073.0,438.0,877.0,517.0,,,865.0,561.0,,,813.0,487.0,772.0,571.0,,,644.0,516.0,,,,,553.0,645.0,,,587.0,556.0,656.0,663.0,494.0,501.0
labeled-data,_0,img046.png,531.0,302.0,655.0,306.0,797.0,313.0,916.0,322.0,1005.0,319.0,1079.0,438.0,882.0,517.0,,,866.0,561.0,,,816.0,487.0,775.0,570.0,,,650.0,515.0,,,,,552.0,645.0,,,591.0,557.0,661.0,664.0,498.0,501.0
labeled-data,_0,img047.png,536.0,302.0,661.0,305.0,803.0,313.0,922.0,321.0,1011.0,319.0,1085.0,437.0,887.0,517.0,,,868.0,561.0,,,819.0,486.0,778.0,569.0,,,655.0,514.0,,,534.0,531.0,,,574.0,482.0,596.0,558.0,666.0,664.0,,
labeled-data,_0,img048.png,542.0,302.0,666.0,305.0,808.0,313.0,928.0,321.0,1017.0,317.0,1091.0,435.0,892.0,516.0,,,869.0,561.0,,,822.0,485.0,783.0,568.0,763.0,659.0,660.0,513.0,,,537.0,531.0,,,580.0,482.0,601.0,558.0,,,501.0,503.0
labeled-data,_0,img049.png,547.0,302.0,670.0,304.0,813.0,313.0,935.0,320.0,1023.0,316.0,1097.0,433.0,897.0,516.0,,,870.0,561.0,,,826.0,485.0,796.0,570.0,767.0,657.0,666.0,513.0,,,540.0,531.0,,,585.0,482.0,607.0,558.0,,,503.0,503.0
labeled-data,_0,img050.png,552.0,302.0,675.0,304.0,818.0,313.0,941.0,319.0,1029.0,314.0,1102.0,430.0,903.0,515.0,,,871.0,561.0,,,830.0,484.0,812.0,570.0,774.0,654.0,671.0,513.0,,,542.0,531.0,,,591.0,482.0,612.0,558.0,,,507.0,503.0
labeled-data,_0,img051.png,557.0,302.0,680.0,304.0,823.0,313.0,947.0,317.0,1034.0,312.0,1106.0,427.0,908.0,515.0,,,873.0,561.0,,,835.0,483.0,831.0,570.0,782.0,649.0,676.0,513.0,562.0,460.0,,,552.0,645.0,596.0,481.0,,,680.0,667.0,,
labeled-data,_0,img052.png,562.0,302.0,685.0,304.0,828.0,313.0,951.0,316.0,1037.0,310.0,1108.0,424.0,913.0,514.0,,,874.0,561.0,,,839.0,483.0,851.0,567.0,793.0,641.0,681.0,513.0,,,545.0,531.0,,,601.0,481.0,617.0,557.0,,,514.0,504.0
labeled-data,_0,img053.png,566.0,302.0,690.0,304.0,832.0,313.0,955.0,316.0,1039.0,309.0,1109.0,422.0,918.0,513.0,,,,,,,845.0,483.0,867.0,563.0,805.0,634.0,685.0,513.0,,,546.0,532.0,,,604.0,481.0,618.0,557.0,,,516.0,504.0
labeled-data,_0,img054.png,571.0,302.0,694.0,304.0,837.0,313.0,959.0,316.0,1041.0,309.0,1110.0,421.0,922.0,513.0,,,,,,,851.0,482.0,879.0,561.0,818.0,629.0,689.0,513.0,,,548.0,532.0,,,608.0,480.0,619.0,556.0,,,518.0,504.0
labeled-data,_0,img055.png,574.0,302.0,698.0,304.0,840.0,313.0,962.0,315.0,1044.0,309.0,1112.0,421.0,927.0,513.0,,,,,,,859.0,482.0,890.0,559.0,832.0,628.0,693.0,513.0,,,550.0,532.0,,,611.0,480.0,619.0,556.0,,,521.0,504.0
labeled-data,_0,img056.png,578.0,302.0,701.0,304.0,844.0,313.0,964.0,314.0,1046.0,307.0,1116.0,418.0,932.0,512.0,,,,,,,869.0,482.0,905.0,556.0,852.0,629.0,697.0,513.0,,,552.0,532.0,,,614.0,480.0,620.0,556.0,,,524.0,504.0
labeled-data,_0,img057.png,581.0,302.0,704.0,304.0,847.0,313.0,966.0,312.0,1046.0,302.0,1119.0,411.0,938.0,510.0,,,885.0,561.0,,,882.0,482.0,924.0,552.0,880.0,633.0,700.0,513.0,,,555.0,532.0,,,616.0,480.0,620.0,555.0,,,526.0,504.0
labeled-data,_0,img058.png,584.0,302.0,707.0,304.0,849.0,313.0,966.0,309.0,1045.0,297.0,1121.0,403.0,944.0,509.0,,,885.0,561.0,,,895.0,481.0,938.0,551.0,908.0,639.0,703.0,513.0,,,558.0,532.0,,,619.0,479.0,621.0,555.0,,,529.0,504.0
labeled-data,_0,img059.png,587.0,302.0,710.0,304.0,852.0,313.0,966.0,307.0,1043.0,292.0,1123.0,395.0,950.0,507.0,,,885.0,561.0,,,906.0,479.0,943.0,554.0,932.0,647.0,705.0,513.0,,,561.0,531.0,,,621.0,479.0,622.0,555.0,,,532.0,504.0
labeled-data,_0,img060.png,589.0,302.0,712.0,304.0,854.0,313.0,967.0,306.0,1043.0,289.0,1125.0,390.0,953.0,506.0,,,886.0,561.0,,,912.0,478.0,938.0,560.0,,,708.0,513.0,,,563.0,531.0,,,623.0,479.0,623.0,555.0,,,534.0,504.0
labeled-data,_0,img061.png,591.0,302.0,714.0,304.0,856.0,313.0,968.0,305.0,1044.0,288.0,1127.0,388.0,956.0,506.0,,,886.0,561.0,,,914.0,478.0,929.0,565.0,,,710.0,513.0,,,565.0,530.0,,,625.0,479.0,624.0,554.0,,,537.0,504.0
labeled-data,_0,img062.png,593.0,302.0,716.0,304.0,858.0,313.0,970.0,305.0,1046.0,287.0,1129.0,387.0,957.0,506.0,,,887.0,561.0,,,916.0,478.0,927.0,567.0,,,712.0,513.0,,,567.0,529.0,,,627.0,479.0,625.0,554.0,,,540.0,504.0
labeled-data,_0,img063.png,595.0,302.0,718.0,304.0,860.0,313.0,972.0,305.0,1047.0,286.0,1131.0,386.0,959.0,506.0,,,887.0,561.0,,,918.0,478.0,928.0,568.0,,,714.0,513.0,,,569.0,529.0,,,629.0,479.0,626.0,554.0,,,544.0,504.0
labeled-data,_0,img064.png,597.0,302.0,720.0,304.0,862.0,313.0,973.0,305.0,1049.0,286.0,1133.0,386.0,961.0,506.0,,,887.0,561.0,,,920.0,478.0,930.0,568.0,,,716.0,513.0,,,571.0,528.0,,,631.0,479.0,628.0,553.0,,,547.0,504.0
labeled-data,_0,img065.png,599.0,302.0,722.0,304.0,864.0,313.0,975.0,305.0,1051.0,286.0,1135.0,386.0,962.0,506.0,,,887.0,561.0,,,922.0,478.0,931.0,569.0,,,717.0,513.0,,,573.0,527.0,,,633.0,478.0,629.0,553.0,,,549.0,504.0
labeled-data,_0,img066.png,600.0,302.0,723.0,305.0,865.0,313.0,977.0,305.0,1052.0,286.0,1136.0,386.0,964.0,506.0,,,888.0,561.0,,,924.0,478.0,933.0,569.0,,,719.0,513.0,,,574.0,527.0,,,634.0,478.0,630.0,553.0,,,551.0,504.0
labeled-data,_0,img067.png,602.0,302.0,725.0,305.0,867.0,313.0,978.0,305.0,1054.0,286.0,1138.0,386.0,966.0,506.0,,,888.0,561.0,,,926.0,478.0,933.0,569.0,,,721.0,513.0,,,575.0,527.0,,,636.0,478.0,631.0,553.0,,,553.0,504.0
labeled-data,_0,img068.png,604.0,303.0,727.0,305.0,869.0,313.0,980.0,305.0,1055.0,286.0,1140.0,385.0,967.0,506.0,,,888.0,560.0,,,928.0,478.0,934.0,569.0,,,723.0,513.0,,,576.0,527.0,,,637.0,478.0,631.0,553.0,679.0,666.0,,
labeled-data,_0,img069.png,606.0,303.0,728.0,305.0,870.0,313.0,982.0,305.0,1057.0,286.0,1141.0,385.0,969.0,506.0,,,889.0,560.0,,,931.0,479.0,934.0,570.0,,,724.0,513.0,,,577.0,527.0,,,638.0,478.0,632.0,552.0,,,556.0,504.0
labeled-data,_0,img070.png,607.0,303.0,730.0,305.0,872.0,313.0,983.0,305.0,1059.0,286.0,1143.0,385.0,971.0,506.0,,,889.0,560.0,,,933.0,479.0,935.0,570.0,,,726.0,513.0,,,578.0,526.0,,,639.0,478.0,632.0,552.0,,,558.0,504.0
labeled-data,_0,img071.png,609.0,303.0,731.0,305.0,873.0,313.0,984.0,305.0,1059.0,286.0,1144.0,385.0,972.0,506.0,,,890.0,560.0,,,935.0,480.0,936.0,570.0,,,727.0,513.0,,,578.0,526.0,,,641.0,478.0,633.0,552.0,,,559.0,504.0
labeled-data,_0,img072.png,610.0,303.0,733.0,305.0,874.0,313.0,985.0,305.0,1059.0,286.0,1143.0,385.0,973.0,506.0,,,890.0,560.0,,,935.0,481.0,936.0,571.0,,,729.0,513.0,,,579.0,526.0,,,643.0,478.0,634.0,551.0,,,561.0,504.0
labeled-data,_0,img073.png,611.0,303.0,734.0,305.0,875.0,313.0,985.0,305.0,1058.0,286.0,1141.0,385.0,974.0,506.0,,,891.0,561.0,,,934.0,481.0,937.0,571.0,,,730.0,513.0,,,580.0,526.0,,,644.0,477.0,635.0,551.0,,,562.0,504.0
labeled-data,_0,img074.png,612.0,303.0,734.0,305.0,876.0,313.0,985.0,305.0,1057.0,287.0,1139.0,385.0,974.0,506.0,,,891.0,561.0,,,934.0,482.0,937.0,571.0,,,730.0,513.0,,,580.0,525.0,,,645.0,477.0,636.0,550.0,,,562.0,504.0
labeled-data,_0,img075.png,612.0,303.0,734.0,305.0,876.0,313.0,984.0,305.0,1056.0,287.0,1138.0,385.0,974.0,505.0,,,891.0,561.0,,,933.0,482.0,938.0,571.0,,,731.0,513.0,,,580.0,525.0,,,646.0,477.0,636.0,550.0,,,563.0,504.0
labeled-data,_0,img076.png,612.0,303.0,735.0,305.0,876.0,313.0,984.0,304.0,1055.0,286.0,1137.0,383.0,975.0,505.0,,,891.0,561.0,,,933.0,482.0,938.0,571.0,,,731.0,513.0,,,580.0,525.0,,,646.0,477.0,636.0,550.0,,,562.0,504.0
labeled-data,_0,img077.png,612.0,303.0,735.0,305.0,876.0,313.0,982.0,303.0,1052.0,283.0,1135.0,379.0,975.0,504.0,,,891.0,561.0,,,933.0,482.0,938.0,571.0,,,730.0,513.0,,,580.0,525.0,,,646.0,477.0,636.0,550.0,,,560.0,504.0
labeled-data,_0,img078.png,612.0,303.0,735.0,305.0,876.0,314.0,980.0,302.0,1048.0,281.0,1132.0,375.0,976.0,503.0,,,891.0,561.0,,,933.0,482.0,938.0,571.0,,,730.0,514.0,,,580.0,525.0,,,646.0,477.0,636.0,550.0,,,557.0,504.0
labeled-data,_0,img079.png,616.0,303.0,741.0,310.0,879.0,314.0,987.0,310.0,1060.0,296.0,1141.0,417.0,976.0,509.0,,,891.0,561.0,,,939.0,483.0,942.0,572.0,,,734.0,520.0,,,584.0,526.0,,,650.0,477.0,639.0,550.0,,,551.0,504.0
labeled-data,_0,img080.png,616.0,303.0,741.0,310.0,879.0,314.0,987.0,310.0,1060.0,296.0,1141.0,417.0,976.0,509.0,,,891.0,561.0,,,939.0,483.0,942.0,572.0,,,734.0,520.0,,,584.0,526.0,,,650.0,477.0,639.0,550.0,,,552.0,504.0
labeled-data,_0,img081.png,616.0,303.0,741.0,310.0,879.0,314.0,987.0,310.0,1060.0,296.0,1141.0,417.0,976.0,509.0,,,891.0,561.0,,,939.0,483.0,942.0,572.0,,,734.0,520.0,,,584.0,526.0,,,650.0,477.0,639.0,550.0,,,552.0,504.0
labeled-data,_0,img082.png,616.0,303.0,741.0,310.0,879.0,314.0,987.0,310.0,1060.0,296.0,1141.0,417.0,976.0,509.0,,,891.0,561.0,,,939.0,483.0,942.0,572.0,,,734.0,520.0,,,584.0,526.0,,,650.0,477.0,639.0,550.0,,,554.0,504.0
labeled-data,_0,img083.png,616.0,303.0,741.0,310.0,879.0,314.0,987.0,310.0,1060.0,296.0,1141.0,416.0,976.0,509.0,,,891.0,561.0,,,939.0,483.0,942.0,572.0,,,734.0,520.0,,,584.0,526.0,,,650.0,477.0,639.0,550.0,,,555.0,504.0
labeled-data,_0,img084.png,616.0,303.0,741.0,310.0,879.0,314.0,987.0,310.0,1060.0,296.0,1141.0,416.0,976.0,509.0,,,891.0,561.0,,,939.0,483.0,942.0,572.0,,,734.0,520.0,,,584.0,526.0,,,650.0,477.0,639.0,550.0,,,557.0,504.0
labeled-data,_0,img085.png,616.0,303.0,741.0,310.0,879.0,314.0,987.0,310.0,1060.0,296.0,1141.0,416.0,976.0,509.0,,,891.0,561.0,,,939.0,483.0,942.0,572.0,,,734.0,520.0,,,584.0,526.0,,,650.0,477.0,639.0,550.0,,,557.0,504.0
labeled-data,_0,img086.png,616.0,303.0,741.0,310.0,879.0,314.0,987.0,310.0,1060.0,296.0,1141.0,416.0,976.0,509.0,,,891.0,561.0,,,939.0,483.0,942.0,572.0,,,734.0,520.0,,,584.0,526.0,,,650.0,477.0,640.0,549.0,,,557.0,504.0
labeled-data,_0,img087.png,617.0,303.0,742.0,310.0,879.0,314.0,988.0,310.0,1060.0,296.0,1141.0,416.0,976.0,509.0,,,892.0,561.0,,,939.0,482.0,942.0,572.0,,,735.0,520.0,,,585.0,526.0,,,651.0,477.0,640.0,549.0,,,558.0,504.0
